id,fase,modello,ordine,funzione,centratura,perc_monte,dur_min_60,dur_max_60,attivita_docente,attivita_studente,metodologie_tipiche,opzionale,momento
FAS-01,Apertura / Avvio,generico,1,"Crea attesa e senso: richiama i prerequisiti, aggancia all'esperienza, dichiara obiettivi e criteri di riuscita",docente-studenti,10,5,8,"Attiva, contestualizza, esplicita obiettivi e criteri","Recuperano, si orientano, si attivano",MET-07|MET-23|MET-21|MET-02,no,inizio
FAS-02,Sviluppo / Presentazione,generico,2,"Introduce il contenuto nuovo per esposizione o scoperta, rendendo visibile il pensiero esperto",docente,35,18,25,"Espone con chiarezza o guida la scoperta, modella il ragionamento","Ascoltano attivamente, prendono appunti, elaborano, scoprono",MET-01|MET-02|MET-03|MET-05|MET-13|MET-28,no,sviluppo
FAS-03,Esercitazione / Applicazione,generico,3,"Consolida tramite applicazione attiva, guidata o cooperativa, con scaffolding calibrato",studenti,30,15,20,"Assegna compiti graduati, fornisce scaffolding, monitora e da' feedback","Applicano, traducono, analizzano, producono",MET-04|MET-09|MET-10|MET-20|MET-24|MET-18,no,apprendimento
FAS-04,Verifica formativa,generico,4,"Misura in itinere la comprensione (non graduata) per regolare la didattica",docente-studenti,10,5,8,"Sonda con domande mirate, raccoglie evidenze, restituisce feedback","Mostrano che cosa hanno capito, individuano i nodi",MET-30|MET-22|MET-08,no,fine
FAS-05,Chiusura / Sintesi e metacognizione,generico,5,"Ricapitola, fissa i concetti chiave e fa riflettere sul come si e' imparato",docente-studenti,10,5,7,"Sintetizza, collega, guida la metacognizione","Ricapitolano, collegano, riflettono sul proprio apprendimento",MET-22|MET-07|MET-21,no,fine
FAS-06,Consegna / Compito,generico,6,"Assegna un lavoro domestico significativo e ne chiarisce senso e criteri",docente,5,2,5,"Assegna, esemplifica, esplicita tempi e criteri","Annotano la consegna e chiedono chiarimenti",-,si,fine
FAS-07,Studio domestico (a monte),flipped,0,"Prima fruizione autonoma del materiale a casa, per liberare il tempo d'aula",individuale,0,0,0,"Predispone video, letture e domande-guida","Studiano in autonomia e annotano i dubbi",MET-17|MET-31,si,inizio
FAS-08,Sistematizzazione,euristica,3,"Mette a sistema quanto emerso per scoperta, formalizzando regola o interpretazione",docente-studenti,15,8,12,"Formalizza la regola o la lettura emersa, ordina","Fissano, schematizzano, generalizzano",MET-03|MET-01|MET-22,si,sviluppo
FAS-09,Restituzione,cooperativo,4,"Condivisione e discussione dei prodotti dei gruppi, con valorizzazione e confronto",gruppi,15,8,12,"Coordina, valorizza, rilancia il confronto","Presentano il lavoro, si confrontano, integrano",MET-04|MET-05|MET-06,si,apprendimento
FAS-10,Momento preparatorio (EAS),eas,1,"Stimolo e consegna situata: attiva la sfida con logica di problem solving",docente-studenti,20,10,15,"Da' lo stimolo e la consegna, definisce il compito","Si attivano sul problema, pianificano",MET-12|MET-10,si,inizio
FAS-11,Momento operatorio (EAS),eas,2,"Produzione e condivisione di un artefatto: learning by doing",gruppi,50,25,35,"Facilita, fornisce risorse, osserva i processi","Producono e condividono l'artefatto",MET-12|MET-09,si,apprendimento
FAS-12,Momento ristrutturativo (EAS),eas,3,"Debriefing: valutazione, correzione delle misconceptions, riflessione sul processo",docente-studenti,30,15,20,"Conduce il debriefing, corregge, generalizza","Riflettono, correggono, trasferiscono",MET-12|MET-22,si,fine
FAS-13,Patto d'aula e clima,relazionale,1,"Costruisce clima e regole condivise: cura la dinamica del gruppo prima del contenuto",docente-studenti,5,3,8,"Accoglie, esplicita regole e obiettivi relazionali, gestisce le dinamiche","Concordano le regole, si dispongono al lavoro",MET-07,si,inizio
FAS-14,Attivazione delle preconoscenze,diagnostica,1,"Fa emergere preconoscenze e misconceptions per ancorare il nuovo e tarare la lezione",docente-studenti,10,5,10,"Pone domande aperte, raccoglie e mappa le idee","Esplicitano cio' che gia' sanno, formulano ipotesi",MET-23|MET-22,si,inizio
FAS-15,Modellamento (io faccio),rilascio-graduale,2,"Il docente modella ad alta voce la procedura esperta: tradurre, analizzare, argomentare",docente,15,8,12,"Esegue e verbalizza la strategia, rende espliciti i passi","Osservano, annotano i passaggi, pongono domande",MET-01|MET-20,si,sviluppo
FAS-16,Pratica guidata (noi facciamo),rilascio-graduale,3,"Esercizio condiviso con scaffolding in calo: si applica insieme prima dell'autonomia",docente-studenti,20,10,15,"Guida passo-passo, riduce via via il supporto, corregge subito","Applicano insieme, propongono, si autocorreggono",MET-20|MET-02|MET-04,si,apprendimento
FAS-17,Pratica autonoma (tu fai),rilascio-graduale,4,"Applicazione individuale e indipendente, per consolidare e portare a padronanza",individuale,25,12,20,"Monitora, differenzia i compiti, sostiene chi e' in difficolta'","Lavorano in autonomia, verificano, chiedono aiuto mirato",MET-09|MET-18|MET-24,si,apprendimento
FAS-18,Lavoro a coppie (think-pair-share),cooperativo,3,"Pensiero individuale, confronto in coppia, condivisione: partecipazione di tutti",coppie,10,5,10,"Pone la domanda, scandisce i tempi, raccoglie le voci","Pensano da soli, si confrontano a coppie, condividono",MET-04|MET-22,si,apprendimento
FAS-19,Discussione plenaria,dialogica,4,"Confronto guidato di interpretazioni e posizioni, per costruire significato insieme",docente-studenti,15,8,15,"Modera, rilancia, fa argomentare e citare le fonti","Argomentano, ascoltano, ribattono con evidenze",MET-02|MET-08|MET-07,si,apprendimento
FAS-20,Lettura e analisi guidata del testo,testuale,2,"Lettura ravvicinata di un testo, anche in lingua, con domande di analisi progressive",docente-studenti,25,15,25,"Guida la lettura, pone domande di analisi, modella il commento","Leggono, annotano, analizzano lingua e contenuto",MET-02|MET-24|MET-09,si,sviluppo
FAS-21,Laboratorio di traduzione/scrittura,laboratorio,3,"Officina su un compito autentico (versione, parafrasi, scrittura) con revisione tra pari",studenti,30,20,35,"Allestisce il compito, fornisce strumenti e scaffolding, fa revisione","Producono, confrontano soluzioni, revisionano",MET-09|MET-24|MET-20,si,apprendimento
FAS-22,Valutazione tra pari,cooperativo,4,"Scambio di feedback fra pari su criteri condivisi: rende attivo e formativo il giudizio",coppie,10,8,12,"Fornisce la rubrica, modella il feedback, supervisiona","Valutano il lavoro altrui con i criteri, restituiscono feedback",MET-06|MET-22,si,fine
FAS-23,Recupero e consolidamento,personalizzazione,3,"Intervento differenziato per colmare lacune o estendere, in logica di mastery",individuale,20,10,20,"Forma gruppi di livello, assegna compiti su misura, sostiene","Recuperano o approfondiscono secondo il bisogno",MET-18|MET-19|MET-20,si,apprendimento
FAS-24,Autovalutazione e rubrica,metacognitiva,5,"Lo studente valuta il proprio lavoro con la rubrica e fissa un obiettivo di miglioramento",individuale,10,5,10,"Condivide la rubrica, guida l'autovalutazione","Si autovalutano, individuano punti di forza e prossimi passi",MET-22|MET-18,si,fine
FAS-25,Lancio della situazione-problema,problem-based,1,"Apre con un problema autentico o un caso che genera il bisogno di sapere",docente-studenti,10,5,12,"Presenta il caso, suscita domande, sospende la soluzione","Analizzano il problema, formulano domande e ipotesi",MET-10|MET-13|MET-23,si,inizio
FAS-26,Sintesi visiva / mappa,pensiero-visibile,5,"Organizza i contenuti in una mappa o schema condiviso che rende visibili le relazioni",docente-studenti,10,5,12,"Co-costruisce la mappa con la classe, evidenzia i nessi","Co-costruiscono la mappa, collegano i concetti",MET-22,si,fine
FAS-27,Accoglienza / Setting,generico,0,"Appello, organizzazione dello spazio (lavagna, proiettore) e transizione dalla materia precedente: crea il silenzio attento e il contratto della giornata",docente-studenti,5,2,5,"Fa l'appello, predispone spazio e strumenti, segna lo stacco dall'ora precedente","Si dispongono, preparano il materiale, entrano nel clima di lavoro",MET-07,si,inizio
FAS-28,Anticipazione / Cornice (framing),generico,1,"Dichiara in modo esplicito gli obiettivi della lezione e i criteri di riuscita, dando senso al lavoro e attivando la motivazione",docente,5,3,5,"Esplicita obiettivi, agenda e criteri di valutazione, collega al percorso","Colgono il senso e le attese, si orientano sul compito",MET-21|MET-07,si,inizio
FAS-29,Brain break / Pausa cognitiva,gestione,3,"Micro-stacco a meta' lezione o dopo l'input teorico: svuota la memoria di lavoro satura prima di passare alla pratica",docente-studenti,3,1,2,"Propone un aneddoto, una curiosita' o un respiro per allentare la tensione","Staccano, recuperano energia e attenzione",-,si,sviluppo
FAS-30,Scaffolding personalizzato,inclusione,3,"Durante la pratica, intervento mirato accanto a chi e' in difficolta' (BES/DSA): organizzatori grafici, tabelle di supporto, riduzione del carico cognitivo",individuale,0,5,15,"Si siede accanto agli studenti con BES/DSA, fornisce supporti e riduce la complessita'","Usano gli organizzatori e i supporti, procedono con scaffolding su misura",MET-18|MET-20,si,apprendimento
FAS-31,Metacognizione esplicita,metacognitiva,5,"Riflessione sul COME si e' imparato: quale passaggio e' stato piu' difficile e come si e' superato, per costruire consapevolezza di metodo",docente-studenti,5,2,5,"Pone domande sul processo, fa verbalizzare le strategie usate","Riconoscono ostacoli e strategie, fissano un metodo di studio",MET-22,si,fine
FAS-32,Exit ticket,diagnostica,5,"Verifica rapida finale a una sola domanda (su foglietto o digitale): misura chi ha capito cosa e regola la lezione successiva",individuale,5,2,3,"Pone una domanda-chiave, raccoglie le risposte, analizza le evidenze","Rispondono in breve, segnalano i dubbi residui",MET-30|MET-22,si,fine
FAS-33,Follow-up e rimediazione,flipped,6,"A valle: spazio digitale o primi minuti dell'ora dopo per raccogliere i dubbi dello studio a casa e attivare micro-recuperi per chi e' rimasto indietro",docente-studenti,0,0,10,"Raccoglie i dubbi, attiva micro-interventi di recupero, ricalibra","Segnalano difficolta', recuperano i nodi mancanti",MET-19|MET-31|MET-18,si,fine
FAS-34,Negoziazione del conflitto cognitivo,dialogica,3,"Gli studenti, posti davanti a una contraddizione (due interpretazioni opposte o un dilemma), decostruiscono le fonti in piccoli gruppi prima della restituzione",gruppi,25,15,25,"Presenta la contraddizione, fornisce le fonti, sospende il giudizio","Decostruiscono le fonti, costruiscono argomenti, negoziano in gruppo",MET-08|MET-05|MET-06,si,apprendimento
