id,asse,sotto_tipo,titolo,descrizione,relazione,materie,riferimenti,ambito_culturale,discipline_apporto,tag,stato
PAR-0001,triade-letteraria,genere,"L'epica e il poema eroico","Omero ed Esiodo fondano l'epos; Ennio, Virgilio e Lucano lo rifondano a Roma; Ariosto e Tasso nel poema cavalleresco",ripresa-riuso,GRC|LAT|ITA,GRC-0089|GRC-0090|LAT-0072|LAT-0083|LAT-0090|ITA-0044|ITA-0058,,,epica|poema,revisione
PAR-0002,triade-letteraria,genere,"La lirica d'amore","La fenomenologia dell'eros da Saffo e Alceo a Catullo e Orazio, fino a Petrarca",ripresa-riuso,GRC|LAT|ITA,GRC-0095|GRC-0096|LAT-0077|LAT-0084|ITA-0040,,,lirica|eros,revisione
PAR-0003,triade-letteraria,genere,"La tragedia e il tragico","Eschilo, Sofocle ed Euripide; la ripresa di Seneca; Alfieri e il teatro moderno",ripresa-riuso,GRC|LAT|ITA,GRC-0110|GRC-0111|GRC-0112|LAT-0089|ITA-0063,,,tragedia,revisione
PAR-0004,triade-letteraria,genere,"La commedia","Dalla archaia di Aristofane alla nea di Menandro, a Plauto e Terenzio, a Goldoni",ripresa-riuso,GRC|LAT|ITA,GRC-0113|GRC-0126|LAT-0073|LAT-0074|ITA-0061,,,commedia,revisione
PAR-0005,triade-letteraria,genere,"La storiografia","Erodoto, Tucidide e Polibio; Sallustio, Livio e Tacito; Machiavelli e Guicciardini",ripresa-riuso,GRC|LAT|ITA,GRC-0098|GRC-0114|GRC-0131|LAT-0080|LAT-0088|LAT-0097|ITA-0042,,,storiografia,revisione
PAR-0006,triade-letteraria,genere,"L'oratoria e la retorica","Lisia, Isocrate e Demostene; Cicerone e Quintiliano; la tradizione retorica europea",ripresa-riuso,GRC|LAT|ITA,GRC-0115|GRC-0116|GRC-0117|LAT-0081|LAT-0094,,,oratoria|retorica,revisione
PAR-0007,triade-letteraria,genere,"La satira","Il riso critico di Aristofane e Luciano; Lucilio, Persio e Giovenale",ripresa-riuso,GRC|LAT|ITA,GRC-0113|GRC-0134|LAT-0076|LAT-0093|LAT-0096,,,satira,revisione
PAR-0008,triade-letteraria,genere,"L'elegia","Da Mimnermo e Callimaco a Tibullo, Properzio e Ovidio",ripresa-riuso,GRC|LAT|ITA,GRC-0093|GRC-0127|LAT-0085|LAT-0086|LAT-0087,,,elegia,revisione
PAR-0009,triade-letteraria,genere,"La poesia bucolica e l'idillio","Teocrito, le Bucoliche di Virgilio, l'Arcadia di Sannazaro",ripresa-riuso,GRC|LAT|ITA,GRC-0128|LAT-0083|ITA-0257,,,bucolica|idillio,revisione
PAR-0010,triade-letteraria,genere,"Il romanzo antico","Il romanzo greco e Luciano; il Satyricon di Petronio e le Metamorfosi di Apuleio",ripresa-riuso,GRC|LAT|ITA,GRC-0133|GRC-0134|LAT-0091|LAT-0100,,,romanzo,revisione
PAR-0011,triade-letteraria,genere,"La biografia","Plutarco e le Vite parallele; Svetonio; la biografia umanistica",ripresa-riuso,GRC|LAT|ITA,GRC-0132|LAT-0102,,,biografia,revisione
PAR-0012,triade-letteraria,genere,"La poesia didascalica","Esiodo; il De rerum natura di Lucrezio e le Georgiche di Virgilio",ripresa-riuso,GRC|LAT|ITA,GRC-0090|LAT-0078|LAT-0083,,,didascalica,revisione
PAR-0013,triade-letteraria,genere,"La favola","Esopo e Babrio; Fedro; la favolistica moderna (La Fontaine)",ripresa-riuso,GRC|LAT|ITA,GRC-0225|LAT-0092,,,favola,revisione
PAR-0014,triade-letteraria,genere,"L'epigramma","L'epigramma greco e l'Antologia Palatina; Marziale; l'epigramma moderno",ripresa-riuso,GRC|LAT|ITA,GRC-0130|LAT-0095,,,epigramma,revisione
PAR-0015,triade-letteraria,genere,"Il dialogo filosofico","Platone e Luciano; i dialoghi di Cicerone e Seneca; il dialogo umanistico",ripresa-riuso,GRC|LAT|ITA,GRC-0125|GRC-0134|LAT-0081|LAT-0089,,,dialogo|filosofia,revisione
PAR-0016,triade-letteraria,genere,"L'epistola e l'epistolografia","Le lettere di Cicerone, Seneca e Plinio; l'epistolografia umanistica di Petrarca",ripresa-riuso,LAT|ITA,LAT-0081|LAT-0089|LAT-0099|ITA-0040,,,epistola,revisione
PAR-0017,triade-letteraria,genere,"L'autobiografia e la confessione","Le Confessiones di Agostino come archetipo dell'autobiografia interiore moderna",fondazione,LAT|ITA,LAT-0103,,,autobiografia|confessione,revisione
PAR-0018,triade-letteraria,genere,"La geografia e l'etnografia","Erodoto; la Germania di Tacito e il De bello Gallico di Cesare; la letteratura di viaggio",ripresa-riuso,GRC|LAT,GRC-0098|LAT-0079|LAT-0097,,,geografia|etnografia,revisione
PAR-0019,triade-letteraria,tema-topos,"Il viaggio e il nostos","L'Odissea, l'Eneide, l'Ulisse di Dante e quello moderno (Joyce)",ripresa-riuso,GRC|LAT|ITA,GRC-0089|LAT-0083|ITA-0039|ITA-0258,,,nostos|viaggio,revisione
PAR-0020,triade-letteraria,tema-topos,"L'eroe e il suo destino","Achille ed Ettore; Enea e il pius eroe romano; l'eroe problematico moderno",ripresa-riuso,GRC|LAT|ITA,GRC-0089|LAT-0083,,,eroe|destino,revisione
PAR-0021,triade-letteraria,tema-topos,"La katabasi: la discesa agli inferi","Odissea XI; Eneide VI; l'Inferno di Dante",ripresa-riuso,GRC|LAT|ITA,GRC-0089|LAT-0083|ITA-0045,,,katabasi|oltretomba,revisione
PAR-0022,triade-letteraria,tema-topos,"L'eros e la passione amorosa","Da Saffo a Catullo, fino a Petrarca e Leopardi",continuita,GRC|LAT|ITA,GRC-0096|LAT-0077|ITA-0040|ITA-0085,,,eros|amore,revisione
PAR-0023,triade-letteraria,tema-topos,"La fortuna e il fato (tyche/fatum)","Dalla tragedia e dalla storiografia a Virgilio e Seneca, fino a Machiavelli e Leopardi",continuita,GRC|LAT|ITA,GRC-0111|LAT-0083|LAT-0089|ITA-0042|ITA-0085,,,fortuna|fato,revisione
PAR-0024,triade-letteraria,tema-topos,"L'eta' dell'oro e il mito delle origini","Esiodo; Virgilio e Ovidio; le utopie moderne",ripresa-riuso,GRC|LAT|ITA,GRC-0090|LAT-0083|LAT-0087,,,eta-oro|utopia,revisione
PAR-0025,triade-letteraria,tema-topos,"Il locus amoenus","Teocrito; Virgilio; Tasso e l'Arcadia",continuita,GRC|LAT|ITA,GRC-0128|LAT-0083|ITA-0058,,,locus-amoenus|natura,revisione
PAR-0026,triade-letteraria,tema-topos,"Carpe diem e la fugacita' del tempo","La lirica greca; Orazio; la lirica moderna",ripresa-riuso,GRC|LAT|ITA,GRC-0096|LAT-0084,,,carpe-diem|tempo,revisione
PAR-0027,triade-letteraria,tema-topos,"L'esilio e lo sradicamento","Ovidio dei Tristia; Dante e Foscolo",continuita,LAT|ITA,LAT-0087|ITA-0039|ITA-0064,,,esilio,revisione
PAR-0028,triade-letteraria,tema-topos,"Il rapporto intellettuale-potere","Virgilio e Orazio nel circolo di Mecenate; Seneca e Tacito; l'intellettuale moderno",alterita,LAT|ITA,LAT-0083|LAT-0089|LAT-0097,,,intellettuale|potere,revisione
PAR-0029,triade-letteraria,tema-topos,"La morte e l'oltretomba","Lucrezio e Virgilio; Foscolo dei Sepolcri e Leopardi",continuita,LAT|ITA,LAT-0078|LAT-0083|ITA-0064|ITA-0085,,,morte|oltretomba,revisione
PAR-0030,triade-letteraria,tema-topos,"La guerra e la pace","Iliade e Tucidide; Cesare e Lucano; la riflessione moderna sul conflitto",alterita,GRC|LAT,GRC-0089|GRC-0114|LAT-0079|LAT-0090,,,guerra|pace,revisione
PAR-0031,apporto-culturale,politica,"La democrazia e il pensiero politico","Dalla polis ateniese alla res publica al costituzionalismo europeo",fondazione,GRC|LAT|ITA,GRC-0114|GRC-0117,politica e istituzioni,STO|FIL,democrazia|politica,revisione
PAR-0032,apporto-culturale,filosofia,"La filosofia e il pensiero occidentale","Da Socrate, Platone e Aristotele all'ellenismo, alla tradizione filosofica europea",fondazione,GRC|LAT|ITA,GRC-0125,filosofia,FIL,filosofia,revisione
PAR-0033,apporto-culturale,educazione,"Paideia e humanitas","Dalla paideia greca all'humanitas latina all'umanesimo e alla formazione liberale",continuita,GRC|LAT|ITA,LAT-0074|LAT-0094,educazione e formazione,STO|FIL,paideia|humanitas,revisione
PAR-0034,apporto-culturale,diritto,"Il diritto e le istituzioni","Dal nomos greco al ius romano al diritto europeo",fondazione,GRC|LAT|ITA,LAT-0081,diritto,STO,diritto|istituzioni,revisione
PAR-0035,apporto-culturale,teatro,"Il teatro e la sua funzione civile e catartica","Dal teatro attico al teatro latino al teatro europeo",continuita,GRC|LAT|ITA,GRC-0106|GRC-0107|LAT-0089,teatro e societa',STO|FIL,teatro|catarsi,revisione
PAR-0036,apporto-culturale,storia,"La storiografia come metodo di conoscenza","Dalla critica delle fonti di Tucidide e Polibio alla coscienza storica moderna",continuita,GRC|LAT|ITA,GRC-0114|GRC-0131|LAT-0097,storia e metodo,STO,metodo-storico,revisione
PAR-0037,apporto-culturale,religione,"Il sacro, il mito e il divino","Dalla religione e dal mito greci alla riflessione filosofica e religiosa europea",continuita,GRC|LAT|ITA,GRC-0125,religione e pensiero,FIL|STO,religione|mito|sacro,revisione
PAR-0038,apporto-culturale,scienza,"La scienza e la matematica","Da Euclide, Archimede e Tolomeo all'enciclopedismo di Plinio, alla scienza moderna di Galileo",ripresa-riuso,GRC|LAT|ITA,LAT-0098|ITA-0059,scienza e tecnica,STO,scienza|matematica,revisione
PAR-0039,apporto-culturale,medicina,"La medicina","Da Ippocrate e Galeno alla tradizione medica europea",continuita,GRC|LAT,GRC-0226|GRC-0227,scienza e tecnica,STO,medicina,revisione
PAR-0040,apporto-culturale,etica,"L'etica e la vita buona","Dall'etica greca allo stoicismo ed epicureismo (Seneca, Lucrezio), all'etica moderna",continuita,GRC|LAT|ITA,LAT-0078|LAT-0089,etica,FIL,etica|virtu,revisione
PAR-0041,apporto-culturale,estetica,"L'estetica: mimesis, bello, catarsi","Da Platone e Aristotele all'Ars poetica di Orazio, alle poetiche moderne",continuita,GRC|LAT|ITA,GRC-0125|LAT-0084,estetica e poetica,FIL,estetica|mimesis|catarsi,revisione
PAR-0042,apporto-culturale,logica,"La logica e la dialettica","Da Aristotele e dagli stoici alla tradizione logica europea",fondazione,GRC|LAT,GRC-0125,logica,FIL,logica|dialettica,revisione
PAR-0043,apporto-culturale,lingua,"La grammatica e la riflessione linguistica","Dai grammatici greci e da Varrone alla tradizione grammaticale, alla linguistica moderna",continuita,GRC|LAT|ITA,LAT-0082,lingua e grammatica,STO|FIL,grammatica|linguistica,revisione
PAR-0044,apporto-culturale,citta,"La citta' e l'urbanistica","Dalla polis e dall'urbs alla citta' europea",continuita,GRC|LAT,,citta e spazio,STO,citta|urbanistica,revisione
PAR-0045,apporto-culturale,liberta,"Liberta' e schiavitu'","Dal dibattito antico sulla liberta' e la schiavitu' alla riflessione moderna sui diritti",alterita,GRC|LAT|ITA,,diritti e societa',STO|FIL,liberta|schiavitu,revisione
PAR-0046,apporto-culturale,individuo,"L'individuo e l'interiorita'","Dalla scoperta dell'io nella lirica e in Agostino alla soggettivita' moderna",continuita,GRC|LAT|ITA,GRC-0096|LAT-0103,soggettivita',FIL,individuo|interiorita,revisione
PAR-0047,apporto-culturale,civilta-europea,"L'idea di Europa e la classicita'","La classicita' greco-romana come radice dell'identita' culturale europea",fondazione,GRC|LAT|ITA,,civilta' europea,STO|FIL,classicita|europa,revisione
